customer_id,acquisition_date,acquisition_channel,acquisition_cost
1,2024-01-01,Organic Search,72.8
2,2024-01-02,Direct,58.2
3,2024-01-03,Email Marketing,37.9
4,2024-01-04,Social Media,83.2
5,2024-01-05,Organic Search,71.6
6,2024-01-06,Organic Search,24.6
7,2024-01-07,Organic Search,92.0
8,2024-01-08,Referral,84.0
9,2024-01-09,Social Media,95.5
10,2024-01-10,Email Marketing,75.3
11,2024-01-11,Organic Search,65.2
12,2024-01-12,Direct,47.6
13,2024-01-13,Email Marketing,93.9
14,2024-01-14,Organic Search,87.9
15,2024-01-15,Organic Search,14.1
16,2024-01-16,Organic Search,12.4
17,2024-01-17,Organic Search,43.9
18,2024-01-18,Social Media,82.9
19,2024-01-19,Social Media,98.9
20,2024-01-20,Organic Search,23.5
21,2024-01-21,Social Media,63.5
22,2024-01-22,Organic Search,44.3
23,2024-01-23,Organic Search,97.3
24,2024-01-24,Organic Search,85.8
25,2024-01-25,Social Media,85.4
26,2024-01-26,Email Marketing,52.2
27,2024-01-27,Organic Search,47.3
28,2024-01-28,Social Media,34.6
29,2024-01-29,Social Media,15.1
30,2024-01-30,Organic Search,87.8
31,2024-01-31,Social Media,83.2
32,2024-02-01,Organic Search,100.0
33,2024-02-02,Organic Search,99.7
34,2024-02-03,Referral,60.0
35,2024-02-04,Direct,79.2
36,2024-02-05,Email Marketing,95.0
37,2024-02-06,Organic Search,86.5
38,2024-02-07,Organic Search,32.3
39,2024-02-08,Email Marketing,50.5
40,2024-02-09,Social Media,21.6
41,2024-02-10,Organic Search,95.9
42,2024-02-11,Social Media,64.6
43,2024-02-12,Organic Search,30.6
44,2024-02-13,Referral,70.5
45,2024-02-14,Organic Search,65.6
46,2024-02-15,Email Marketing,42.2
47,2024-02-16,Organic Search,20.2
48,2024-02-17,Social Media,70.4
49,2024-02-18,Social Media,56.8
50,2024-02-19,Organic Search,79.5
51,2024-02-20,Direct,56.8
52,2024-02-21,Email Marketing,86.7
53,2024-02-22,Referral,59.7
54,2024-02-23,Referral,60.5
55,2024-02-24,Social Media,88.9
56,2024-02-25,Referral,46.3
57,2024-02-26,Organic Search,22.1
58,2024-02-27,Organic Search,12.6
59,2024-02-28,Organic Search,78.0
60,2024-02-29,Organic Search,65.8
61,2024-03-01,Organic Search,73.4
62,2024-03-02,Organic Search,29.2
63,2024-03-03,Email Marketing,22.3
64,2024-03-04,Organic Search,11.3
65,2024-03-05,Organic Search,41.6
66,2024-03-06,Social Media,63.1
67,2024-03-07,Organic Search,45.3
68,2024-03-08,Email Marketing,49.4
69,2024-03-09,Organic Search,91.4
70,2024-03-10,Direct,41.3
