Age,Years_Experience,Monthly_Salary,Monthly_Sales,Gender,Department,Marital_Status,Bonus_Received,Job_Satisfaction,City
60,20.7,36.2,23,Female,Sales,Married,No,High,Mashhad
50,23.7,39.1,30,Male,Finance,Married,Yes,Low,Tehran
36,0.6,31.6,27,Female,Marketing,Married,No,Low,Tehran
29,17.9,38.5,36,Male,Finance,Married,Yes,Low,Tehran
42,7.9,91.5,34,Female,Sales,Married,Yes,High,Tehran
60,22.6,36.4,21,Male,Sales,Married,No,High,Tehran
40,6.1,58.7,22,Male,Sales,Married,No,Medium,Mashhad
44,24.2,106.0,21,Male,HR,Single,No,Medium,Tehran
32,13.5,32.1,18,Female,Marketing,Single,No,Medium,Tehran
32,32.8,103.3,19,Male,Finance,Single,No,High,Shiraz
45,4.8,55.4,27,Female,Marketing,Married,No,Medium,Isfahan
57,11.9,40.6,23,Male,Finance,Single,No,Low,Shiraz
45,4.0,92.7,25,Male,Sales,Married,Yes,Low,Tehran
24,32.4,86.6,19,Male,Finance,Married,No,Low,Isfahan
43,30.7,109.0,12,Female,IT,Single,No,Medium,Tehran
23,9.0,96.2,21,Male,IT,Married,No,High,Tehran
45,23.1,102.3,17,Female,IT,Single,No,Medium,Mashhad
51,28.6,55.4,24,Female,IT,Married,No,Low,Tehran
59,19.4,46.0,23,Female,HR,Single,No,Low,Isfahan
23,18.5,97.6,28,Male,Sales,Married,Yes,High,Isfahan
42,8.5,102.6,30,Male,Sales,Married,No,Medium,Tehran
54,3.3,119.1,34,Female,Finance,Married,Yes,High,Mashhad
33,31.4,67.1,21,Male,HR,Married,Yes,Medium,Tehran
43,31.5,63.5,29,Female,IT,Married,No,Medium,Shiraz
46,22.2,99.9,20,Male,Marketing,Married,No,Medium,Mashhad
48,11.9,60.7,25,Female,Sales,Married,No,Low,Isfahan
49,12.2,113.8,23,Female,Sales,Married,Yes,Medium,Mashhad
37,25.4,107.3,29,Female,HR,Single,No,High,Tehran
36,31.4,68.6,21,Male,Marketing,Married,No,Medium,Isfahan
24,31.0,97.6,32,Female,Sales,Married,Yes,Medium,Tehran
58,27.3,97.9,25,Male,Marketing,Married,No,Low,Shiraz
28,22.5,39.3,24,Male,Sales,Single,Yes,High,Mashhad
42,2.9,111.2,21,Female,HR,Married,No,High,Tehran
30,5.7,75.5,23,Female,Sales,Single,No,Medium,Shiraz
60,31.4,104.4,22,Female,IT,Married,No,High,Tehran
39,21.2,58.8,22,Female,Marketing,Single,No,Medium,Isfahan
25,0.3,110.6,32,Male,Marketing,Married,Yes,Medium,Isfahan
46,3.6,65.0,28,Male,Sales,Married,No,High,Mashhad
35,23.2,31.0,25,Female,Sales,Single,No,High,Shiraz
30,0.2,111.5,25,Male,Marketing,Married,No,Medium,Tehran
47,5.6,38.2,29,Male,Marketing,Single,No,Low,Tehran
23,19.2,58.7,18,Male,HR,Married,No,Medium,Tehran
41,24.2,115.5,23,Male,Sales,Married,No,High,Tehran
49,22.8,115.6,26,Male,HR,Married,No,Medium,Tehran
28,7.8,81.6,21,Male,Finance,Married,No,Medium,Mashhad
29,24.9,86.9,19,Male,IT,Married,No,Medium,Isfahan
56,8.3,70.4,19,Male,Sales,Single,Yes,Medium,Isfahan
35,11.4,56.4,22,Female,Marketing,Single,No,Medium,Tehran
38,26.1,59.6,32,Male,Sales,Married,Yes,High,Mashhad
57,22.7,90.5,25,Male,Sales,Married,No,Medium,Shiraz
25,29.7,97.7,31,Female,Finance,Married,Yes,Low,Tehran
23,23.0,101.2,21,Male,Sales,Married,No,Low,Shiraz
27,19.9,101.1,26,Female,Marketing,Single,No,High,Isfahan
25,3.3,38.2,22,Female,HR,Married,No,Medium,Tehran
50,12.9,74.5,20,Male,IT,Single,No,Medium,Isfahan
39,9.3,35.2,24,Male,HR,Married,No,High,Isfahan
47,8.5,79.5,21,Female,Sales,Single,Yes,High,Tehran
55,34.1,69.7,27,Female,Marketing,Single,No,High,Mashhad
31,13.8,109.9,26,Male,Marketing,Single,Yes,High,Mashhad
57,31.2,61.6,25,Female,Sales,Single,No,Medium,Shiraz
35,22.1,40.5,14,Male,Marketing,Married,No,High,Isfahan
52,27.8,42.9,18,Female,Sales,Single,No,Medium,Isfahan
36,17.6,98.5,30,Male,Sales,Single,No,High,Shiraz
29,20.2,85.6,28,Female,Marketing,Single,No,High,Isfahan
35,17.2,39.1,26,Female,Sales,Single,Yes,High,Tehran
44,6.8,37.6,24,Female,HR,Single,No,Medium,Isfahan
42,25.3,93.1,34,Male,HR,Single,Yes,Low,Mashhad
37,9.8,36.5,39,Male,IT,Married,Yes,Medium,Isfahan
39,0.9,104.0,20,Male,Sales,Married,No,High,Tehran
