customer_id,satisfaction
1,Satisfied
2,Not Satisfied
3,Not Satisfied
4,Not Satisfied
5,Satisfied
6,Satisfied
7,Satisfied
8,Not Satisfied
9,Not Satisfied
10,Not Satisfied
11,Satisfied
12,Not Satisfied
13,Not Satisfied
14,Satisfied
15,Satisfied
16,Satisfied
17,Satisfied
18,Not Satisfied
19,Satisfied
20,Satisfied
21,Not Satisfied
22,Satisfied
23,Satisfied
24,Satisfied
25,Satisfied
26,Not Satisfied
27,Satisfied
28,Satisfied
29,Not Satisfied
30,Satisfied
31,Not Satisfied
32,Satisfied
33,Satisfied
34,Not Satisfied
35,Not Satisfied
36,Not Satisfied
37,Satisfied
38,Satisfied
39,Not Satisfied
40,Satisfied
41,Satisfied
42,Satisfied
43,Satisfied
44,Not Satisfied
45,Satisfied
46,Not Satisfied
47,Satisfied
48,Not Satisfied
49,Not Satisfied
50,Satisfied
51,Not Satisfied
52,Not Satisfied
53,Not Satisfied
54,Not Satisfied
55,Not Satisfied
56,Not Satisfied
57,Satisfied
58,Satisfied
59,Satisfied
60,Satisfied
61,Satisfied
62,Satisfied
63,Not Satisfied
64,Satisfied
65,Satisfied
66,Not Satisfied
67,Satisfied
68,Not Satisfied
69,Satisfied
70,Not Satisfied
71,Not Satisfied
72,Satisfied
73,Satisfied
74,Not Satisfied
75,Not Satisfied
76,Not Satisfied
77,Not Satisfied
78,Satisfied
79,Satisfied
80,Satisfied
81,Not Satisfied
82,Not Satisfied
83,Satisfied
84,Satisfied
85,Satisfied
86,Satisfied
87,Not Satisfied
88,Not Satisfied
89,Not Satisfied
90,Satisfied
91,Satisfied
92,Not Satisfied
93,Not Satisfied
94,Not Satisfied
95,Not Satisfied
96,Satisfied
97,Not Satisfied
98,Satisfied
99,Satisfied
100,Satisfied
101,Satisfied
102,Not Satisfied
103,Satisfied
104,Satisfied
105,Not Satisfied
106,Satisfied
107,Satisfied
108,Not Satisfied
109,Satisfied
110,Satisfied
111,Satisfied
112,Satisfied
113,Not Satisfied
114,Not Satisfied
115,Not Satisfied
116,Not Satisfied
117,Not Satisfied
118,Satisfied
119,Not Satisfied
120,Not Satisfied
121,Not Satisfied
122,Not Satisfied
123,Satisfied
124,Satisfied
125,Satisfied
126,Satisfied
127,Not Satisfied
128,Not Satisfied
129,Satisfied
130,Satisfied
131,Satisfied
132,Satisfied
133,Satisfied
134,Satisfied
135,Not Satisfied
136,Satisfied
137,Satisfied
138,Not Satisfied
139,Satisfied
140,Not Satisfied
141,Not Satisfied
142,Satisfied
143,Satisfied
144,Satisfied
145,Satisfied
146,Satisfied
147,Not Satisfied
148,Satisfied
149,Satisfied
150,Satisfied
151,Not Satisfied
152,Satisfied
153,Satisfied
154,Satisfied
155,Not Satisfied
156,Satisfied
157,Not Satisfied
158,Not Satisfied
159,Satisfied
160,Not Satisfied
161,Satisfied
162,Not Satisfied
163,Not Satisfied
164,Not Satisfied
165,Satisfied
166,Not Satisfied
167,Satisfied
168,Satisfied
169,Satisfied
170,Not Satisfied
171,Not Satisfied
172,Satisfied
173,Satisfied
174,Satisfied
175,Not Satisfied
176,Satisfied
177,Not Satisfied
178,Satisfied
179,Not Satisfied
180,Satisfied
181,Satisfied
182,Satisfied
183,Not Satisfied
184,Not Satisfied
185,Satisfied
186,Not Satisfied
187,Not Satisfied
188,Not Satisfied
189,Not Satisfied
190,Satisfied
191,Satisfied
192,Not Satisfied
193,Not Satisfied
194,Not Satisfied
195,Satisfied
196,Satisfied
197,Not Satisfied
198,Not Satisfied
199,Not Satisfied
200,Not Satisfied
