customer_id,gender,satisfaction
1,Male,Satisfied
2,Male,Not Satisfied
3,Male,Not Satisfied
4,Male,Satisfied
5,Male,Satisfied
6,Male,Satisfied
7,Male,Satisfied
8,Male,Not Satisfied
9,Male,Not Satisfied
10,Male,Not Satisfied
11,Male,Satisfied
12,Male,Not Satisfied
13,Male,Not Satisfied
14,Male,Satisfied
15,Male,Satisfied
16,Male,Satisfied
17,Male,Satisfied
18,Male,Satisfied
19,Male,Satisfied
20,Male,Satisfied
21,Male,Not Satisfied
22,Male,Satisfied
23,Male,Satisfied
24,Male,Satisfied
25,Male,Satisfied
26,Male,Not Satisfied
27,Male,Satisfied
28,Male,Satisfied
29,Male,Satisfied
30,Male,Satisfied
31,Male,Not Satisfied
32,Male,Satisfied
33,Male,Satisfied
34,Male,Not Satisfied
35,Male,Not Satisfied
36,Male,Not Satisfied
37,Male,Satisfied
38,Male,Satisfied
39,Male,Not Satisfied
40,Male,Satisfied
41,Male,Satisfied
42,Male,Satisfied
43,Male,Satisfied
44,Male,Not Satisfied
45,Male,Satisfied
46,Male,Not Satisfied
47,Male,Satisfied
48,Male,Satisfied
49,Male,Satisfied
50,Male,Satisfied
51,Male,Not Satisfied
52,Male,Not Satisfied
53,Male,Not Satisfied
54,Male,Not Satisfied
55,Male,Satisfied
56,Male,Not Satisfied
57,Male,Satisfied
58,Male,Satisfied
59,Male,Satisfied
60,Male,Satisfied
61,Male,Satisfied
62,Male,Satisfied
63,Male,Not Satisfied
64,Male,Satisfied
65,Male,Satisfied
66,Male,Satisfied
67,Male,Satisfied
68,Male,Not Satisfied
69,Male,Satisfied
70,Male,Not Satisfied
71,Male,Not Satisfied
72,Male,Satisfied
73,Male,Satisfied
74,Male,Not Satisfied
75,Male,Not Satisfied
76,Male,Not Satisfied
77,Male,Not Satisfied
78,Male,Satisfied
79,Male,Satisfied
80,Male,Satisfied
81,Male,Not Satisfied
82,Male,Not Satisfied
83,Male,Satisfied
84,Male,Satisfied
85,Male,Satisfied
86,Male,Satisfied
87,Male,Not Satisfied
88,Male,Not Satisfied
89,Male,Not Satisfied
90,Male,Satisfied
91,Male,Satisfied
92,Male,Not Satisfied
93,Male,Not Satisfied
94,Male,Satisfied
95,Male,Not Satisfied
96,Male,Satisfied
97,Male,Satisfied
98,Male,Satisfied
99,Male,Satisfied
100,Male,Satisfied
101,Male,Satisfied
102,Male,Not Satisfied
103,Male,Satisfied
104,Male,Satisfied
105,Male,Not Satisfied
106,Male,Satisfied
107,Male,Satisfied
108,Male,Not Satisfied
109,Male,Satisfied
110,Male,Satisfied
111,Male,Satisfied
112,Male,Satisfied
113,Male,Not Satisfied
114,Male,Not Satisfied
115,Male,Not Satisfied
116,Male,Not Satisfied
117,Male,Not Satisfied
118,Male,Satisfied
119,Male,Not Satisfied
120,Male,Satisfied
121,Male,Not Satisfied
122,Male,Not Satisfied
123,Male,Satisfied
124,Male,Satisfied
125,Male,Satisfied
126,Male,Satisfied
127,Male,Not Satisfied
128,Male,Not Satisfied
129,Male,Satisfied
130,Male,Satisfied
131,Male,Satisfied
132,Male,Satisfied
133,Male,Satisfied
134,Male,Satisfied
135,Male,Not Satisfied
136,Male,Satisfied
137,Male,Satisfied
138,Male,Not Satisfied
139,Male,Satisfied
140,Male,Not Satisfied
141,Male,Not Satisfied
142,Male,Satisfied
143,Male,Satisfied
144,Male,Satisfied
145,Male,Satisfied
146,Male,Satisfied
147,Male,Not Satisfied
148,Male,Satisfied
149,Male,Satisfied
150,Male,Satisfied
151,Male,Not Satisfied
152,Male,Satisfied
153,Male,Satisfied
154,Male,Satisfied
155,Male,Not Satisfied
156,Male,Satisfied
157,Male,Not Satisfied
158,Male,Not Satisfied
159,Male,Satisfied
160,Male,Not Satisfied
161,Male,Satisfied
162,Male,Not Satisfied
163,Male,Not Satisfied
164,Male,Satisfied
165,Male,Satisfied
166,Male,Not Satisfied
167,Male,Satisfied
168,Male,Satisfied
169,Male,Satisfied
170,Male,Satisfied
171,Male,Not Satisfied
172,Male,Satisfied
173,Male,Satisfied
174,Male,Satisfied
175,Male,Not Satisfied
176,Male,Satisfied
177,Male,Not Satisfied
178,Male,Satisfied
179,Male,Not Satisfied
180,Male,Satisfied
181,Male,Satisfied
182,Male,Satisfied
183,Male,Not Satisfied
184,Male,Not Satisfied
185,Male,Satisfied
186,Male,Not Satisfied
187,Male,Not Satisfied
188,Male,Satisfied
189,Male,Satisfied
190,Male,Satisfied
191,Male,Satisfied
192,Male,Not Satisfied
193,Male,Not Satisfied
194,Male,Not Satisfied
195,Male,Satisfied
196,Male,Satisfied
197,Male,Not Satisfied
198,Male,Not Satisfied
199,Male,Not Satisfied
200,Male,Not Satisfied
201,Female,Not Satisfied
202,Female,Satisfied
203,Female,Satisfied
204,Female,Not Satisfied
205,Female,Not Satisfied
206,Female,Satisfied
207,Female,Satisfied
208,Female,Not Satisfied
209,Female,Satisfied
210,Female,Satisfied
211,Female,Not Satisfied
212,Female,Not Satisfied
213,Female,Not Satisfied
214,Female,Satisfied
215,Female,Not Satisfied
216,Female,Satisfied
217,Female,Satisfied
218,Female,Not Satisfied
219,Female,Not Satisfied
220,Female,Not Satisfied
221,Female,Not Satisfied
222,Female,Not Satisfied
223,Female,Satisfied
224,Female,Satisfied
225,Female,Satisfied
226,Female,Satisfied
227,Female,Not Satisfied
