score,professor
85.9,Dr. Ahmadi
83.6,Dr. Ahmadi
81.8,Dr. Ahmadi
72.3,Dr. Ahmadi
97.5,Dr. Ahmadi
71.1,Dr. Ahmadi
90.0,Dr. Ahmadi
77.5,Dr. Ahmadi
82.3,Dr. Ahmadi
92.3,Dr. Ahmadi
95.0,Dr. Ahmadi
70.2,Dr. Ahmadi
83.9,Dr. Ahmadi
84.9,Dr. Ahmadi
65.3,Dr. Ahmadi
87.6,Dr. Ahmadi
69.7,Dr. Ahmadi
77.4,Dr. Ahmadi
81.1,Dr. Ahmadi
81.7,Dr. Ahmadi
71.2,Dr. Ahmadi
90.0,Dr. Ahmadi
62.1,Dr. Ahmadi
85.8,Dr. Ahmadi
76.5,Dr. Ahmadi
83.7,Dr. Ahmadi
83.1,Dr. Ahmadi
70.9,Dr. Ahmadi
82.1,Dr. Ahmadi
80.8,Dr. Ahmadi
78.8,Dr. Ahmadi
76.3,Dr. Ahmadi
84.2,Dr. Ahmadi
68.1,Dr. Ahmadi
51.8,Dr. Ahmadi
77.4,Dr. Ahmadi
79.9,Dr. Ahmadi
96.6,Dr. Ahmadi
83.5,Dr. Ahmadi
70.1,Dr. Ahmadi
54.1,Dr. Ahmadi
81.6,Dr. Ahmadi
95.0,Dr. Ahmadi
67.7,Dr. Ahmadi
74.4,Dr. Ahmadi
81.6,Dr. Ahmadi
74.9,Dr. Ahmadi
90.4,Dr. Ahmadi
85.7,Dr. Ahmadi
64.5,Dr. Ahmadi
82.5,Dr. Ahmadi
88.9,Dr. Ahmadi
77.6,Dr. Ahmadi
64.0,Dr. Ahmadi
92.4,Dr. Ahmadi
68.1,Dr. Ahmadi
71.8,Dr. Ahmadi
85.2,Dr. Ahmadi
93.7,Dr. Ahmadi
94.1,Dr. Ahmadi
74.5,Dr. Ahmadi
93.1,Dr. Ahmadi
76.3,Dr. Ahmadi
79.1,Dr. Ahmadi
74.0,Dr. Ahmadi
91.8,Dr. Ahmadi
50.8,Dr. Ahmadi
76.0,Dr. Ahmadi
92.5,Dr. Ahmadi
84.9,Dr. Ahmadi
97.1,Dr. Ahmadi
90.7,Dr. Ahmadi
75.3,Dr. Ahmadi
90.2,Dr. Ahmadi
92.1,Dr. Ahmadi
62.9,Dr. Ahmadi
73.7,Dr. Ahmadi
71.8,Dr. Ahmadi
93.8,Dr. Ahmadi
96.9,Dr. Ahmadi
90.0,Dr. Karimi
44.9,Dr. Karimi
69.8,Dr. Karimi
89.0,Dr. Karimi
53.7,Dr. Karimi
74.9,Dr. Karimi
44.9,Dr. Karimi
68.3,Dr. Karimi
62.6,Dr. Karimi
61.7,Dr. Karimi
71.7,Dr. Karimi
61.3,Dr. Karimi
75.0,Dr. Karimi
68.7,Dr. Karimi
28.7,Dr. Karimi
64.6,Dr. Karimi
76.1,Dr. Karimi
74.5,Dr. Karimi
75.2,Dr. Karimi
73.1,Dr. Karimi
54.8,Dr. Karimi
69.4,Dr. Karimi
58.4,Dr. Karimi
73.7,Dr. Karimi
67.6,Dr. Karimi
77.9,Dr. Karimi
56.8,Dr. Karimi
65.8,Dr. Karimi
57.0,Dr. Karimi
87.3,Dr. Karimi
87.8,Dr. Karimi
42.8,Dr. Karimi
43.6,Dr. Karimi
45.6,Dr. Karimi
25.4,Dr. Karimi
79.6,Dr. Karimi
25.1,Dr. Karimi
45.8,Dr. Karimi
63.0,Dr. Karimi
49.6,Dr. Karimi
57.8,Dr. Karimi
28.0,Dr. Karimi
75.6,Dr. Karimi
61.5,Dr. Karimi
52.6,Dr. Karimi
91.3,Dr. Karimi
50.6,Dr. Karimi
90.2,Dr. Karimi
42.0,Dr. Karimi
36.9,Dr. Karimi
79.6,Dr. Karimi
49.9,Dr. Karimi
69.7,Dr. Karimi
77.2,Dr. Karimi
79.1,Dr. Karimi
52.2,Dr. Karimi
65.6,Dr. Karimi
66.3,Dr. Karimi
27.3,Dr. Karimi
65.3,Dr. Karimi
76.0,Dr. Karimi
77.1,Dr. Karimi
73.0,Dr. Karimi
68.1,Dr. Karimi
76.4,Dr. Karimi
53.9,Dr. Karimi
87.7,Dr. Karimi
77.5,Dr. Karimi
57.3,Dr. Karimi
57.4,Dr. Karimi
61.8,Dr. Karimi
69.6,Dr. Karimi
79.0,Dr. Karimi
88.3,Dr. Karimi
55.3,Dr. Karimi
52.5,Dr. Karimi
50.5,Dr. Karimi
49.3,Dr. Karimi
69.6,Dr. Karimi
56.1,Dr. Karimi
